claim,verdict,explanation,source,link,id
Video shows “thousands of Christians in France gathered to pray after Olympics opening mocked Jesus Christ.”,false,"""Breaking: Thousands of Christians in France gathered to pray after Olympics opening mocked Jesus Christ,"" read text across a video shared in a July 29 Instagram post. Some X users shared a different video and claimed it, too, showed people gathered in Paris for a ""worship service"" in response to the Olympics opening ceremony. Nevertheless, some social media users shared a video that they claimed showed thousands gathering in France to pray in response.",Instagram posts,https://www.politifact.com/factchecks/2024/jul/30/instagram-posts/no-this-video-doesnt-show-christians-praying-after/,b3dbd04e-5c03-4a4c-bf30-a27e68679c23
Sean “Diddy” Combs wrote the book “The Adrenochrome Witch.”,false,"We found no book listing by Combs or about an adrenochrome witch when searching Barnes & Noble’s website, but doing a Google search for the title led us to a sample page on Barnes & Noble’s ""Nook for Web"" site, which allows users to read e-books and e-book samples on a computer. ""This is not an authentic book and we do not have it listed on our website,"" Barnes & Noble said in a statement to PolitiFact. The sample page used the same image of Combs and said ""The Adrenochrome Witch by Diddy.""",Instagram posts,https://www.politifact.com/factchecks/2024/oct/03/instagram-posts/old-claim-that-diddy-wrote-a-purported-book-traffi/,d70239f2-24a6-47af-8de6-3b1a3da763f6
"""ABC elimina a los moderadores del debate David Muir y Linsey Davis"".",pants-fire,"Una búsqueda en Google y en la base de datos Nexis no mostró noticias sobre el supuesto despido de Muir y Davis por parte de ABC News. Captura de pantalla de la publicación en Facebook. El artículo también dice que Elon Musk, propietario de X y director general de Tesla, y Megyn Kelly, presentadora de un programa de entrevistas conservador, comentaron en internet sobre el despido.",Facebook posts,https://www.politifact.com/factchecks/2024/sep/18/facebook-posts/no-abc-news-no-despidio-a-los-moderadores-del-deba/,137d833b-e001-4217-b22f-1905769a4b04
"Says Wisconsin GOP U.S. Senate candidate Eric Hovde ""brags about being in the 1%.""",mostly-true,"The Democratic Senatorial Campaign Committee claimed Hovde ""brags about being in the 1%"" in an ad based on a quote from 12 years ago. The committee put out an attack ad against Wisconsin Republican senatorial candidate Eric Hovde that says Hovde ""brags about being in the 1%."" Did Hovde brag about being part of the 1%?",Democratic Senatorial Campaign Committee,https://www.politifact.com/factchecks/2024/oct/10/democratic-senatorial-campaign-committee/did-eric-hovde-brag-about-being-in-the-1-his-campa/,54a537a7-a4f9-4b03-a946-acbad9a0e022
"JD Vance “literally wrote the foreword for the architect of the Project 2025 agenda.""",true,"Walz said Vance ""literally wrote the foreword for the architect of the Project 2025 agenda."" Vance wrote the forward for a book authored by Roberts, the Heritage Foundation’s president and a Project 2025 leader. Vance literally, literally wrote the foreword for the architect of the Project 2025 agenda,"" Walz said Aug. 6 in Philadelphia, as Vice President Kamala Harris stood behind him.",Tim Walz,https://www.politifact.com/factchecks/2024/aug/14/tim-walz/jd-vance-wrote-the-foreword-for-project-2025s-kevi/,4e17fead-e0fb-46ac-b263-6e6833a82220
"A plane crashed into the Milad Tower, July 31, 2024.",false,"A Facebook post shows a video of a plane seemingly crashing into a tower and exploding. PolitiFact found no credible media reports of a plane crashing into Milad Tower in 2024. On his Instagram and TikTok accounts we found the same video of the plane crashing into a tower, posted July 13.",Facebook posts,https://www.politifact.com/factchecks/2024/aug/08/facebook-posts/this-video-was-computer-generated-it-doesnt-show-a/,481d0d42-6da1-4b1c-9a8b-d48b978da4f4
"Former President Donald Trump could have destroyed the Affordable Care Act, but “he chose to build upon (it).""",false,"Vance’s assertion that Trump as president took steps to build upon the Affordable Care Act and protect the health coverage of 20 million Americans is simply not supported by the record. Trump said of the Affordable Care Act, ""I saved it."" Meanwhile, the Trump administration expanded access to some kinds of less expensive  health coverage that isn’t compliant with Affordable Care Act rules, including short-term plans that generally have more restrictions on care and can leave consumers with surprise medical bills.",JD Vance,https://www.politifact.com/factchecks/2024/sep/20/jd-vance/vance-misleads-trump-tried-to-take-the-aca-down-no/,b5873154-aed6-4a1c-9dad-69f59e2436b5
"Ryan Routh's Instagram bio says he is a ""proud LGBTQ+ member""",false,"Although much news coverage of Routh included coverage of his posts on X, detailed news reports from several major news outlets do not mention an Instagram account or any connection to the LGBTQ+ community. Routh’s social media accounts on Facebook and X  nor his self-published book mentioned LGBTQ+ identity. Immediately after reports surfaced Routh as the possible suspect, PolitiFact reporters searched for social media accounts under his name and found only a Facebook and X account.",X posts,https://www.politifact.com/factchecks/2024/sep/20/tweets/social-media-posts-connected-ryan-routh-with-lgbtq/,3d2f1ce1-0645-48ee-9e15-eb193e86211f
Taylor Swift “lost 17 million followers by endorsing Kamala.”,false,"""Taylor Swift loses more than 100 million followers on Instagram after Harris endorsement,"" a Sept. 11 post said. ""Taylor Swift loses 50 million Instagram followers,"" a Sept. 17 Facebook post said. ""Taylor Swift had 301 million Instagram followers last week, a Sept. 16 Instagram post said.",Threads posts,https://www.politifact.com/factchecks/2024/sep/19/threads-posts/ready-for-it-taylor-swift-didnt-lose-millions-of-f/,51dc37de-c316-4126-aadd-516e75cd8b93
"“Kamala Harris has promised amnesty for the 10 million illegals she allowed in as border czar, making them eligible for Social Security. Studies warn this will lead to cuts in your Social Security benefits.""",false,"The Center for Immigration Studies argued that providing a pathway to citizenship for the millions of immigrants who are in the U.S. illegally would harm Social Security partly because it would reverse the trend of having more beneficiaries than workers paying into the program. However, it published a 2021 report that said that providing a pathway to citizenship for the millions of immigrants who are living in the U.S. illegally would weaken Social Security’s solvency. And Harris has not announced a plan that would provide immigrants who entered the U.S. illegally under Biden a pathway to citizenship.",Donald Trump,https://www.politifact.com/factchecks/2024/sep/18/donald-trump/donald-trump-ad-makes-false-claims-about-kamala-ha/,5f89561d-2752-41f8-b60c-744c94b6f766
"Kamala Harris was “Indian all the way, and then all of a sudden, she made a turn and she went, she became a Black person.”",pants-fire,"Trump said Harris was Indian and then ""made a turn"" and ""became a Black person."" Harris said she grew up embracing her Indian culture while proudly living as a Black girl. Harris has embraced her Black identity and multicultural background in several ways.",Donald Trump,https://www.politifact.com/factchecks/2024/jul/31/donald-trump/donald-trumps-pants-on-fire-claim-at-nabj-about-ho/,2dfd9774-f755-4616-ac48-566241c1b8f5
"Says Elon Musk said on X, “Go to my crypto project.”",false,"Searching more broadly online for evidence that Musk said this, we found only social media posts such as this Threads post and a YouTube video titled, ""Free bitcoin promo code scam explained."" We rate claims Musk posted this cryptocurrency message on X False. A recent Threads post purports to show a billboard in New York’s Times Square with a message from X owner Elon Musk: ""Go to my crypto project BEDXERS.COM Enter my promo code 31muskxx Take 0.31 BTC.""",Viral image,https://www.politifact.com/factchecks/2024/oct/03/viral-image/no-elon-musk-didnt-direct-users-to-his-crypto-proj/,cd9574cb-a244-4f5c-b280-9b5fef859bb1
Photos that show lists of school names are “school shooting lists.”,false,"The list in the Facebook post featuring the Georgia schools even has a title that says ""2024 Title I Schools Schoolwide (SWP) and Targeted Assisted (TA),"" and the list by that name can be found on the Georgia Department of Education website. Spokespeople for the Georgia Department of Education and New Mexico Public Education Department declined to comment on the lists in the social media posts. Meghan Frick with the Georgia Department of Education referred us to law enforcement agencies including the Georgia Bureau of Investigations ""given the sensitivity of the situation.""",Facebook posts,https://www.politifact.com/factchecks/2024/sep/15/facebook-posts/viral-photo-shows-schools-receiving-federal-money/,d7be8590-8538-4aa4-abc0-67e2de2d2e7e
A video shows “triggered Kamala Harris walks out on Charlamagne Tha God after he exposed Joe Biden’s dementia.”,false,"The video showed McKelvey asking Harris, ""Is it Joe Manchin or Joe Biden, Madam Vice President?"" Is it Joe Manchin or Joe Biden?"" It is Joe Biden.""",Donald Trump Jr.,https://www.politifact.com/factchecks/2024/aug/19/donald-trump-jr/no-kamala-harris-did-not-walk-out-of-this-2021-int/,e0cd37e5-e654-4c61-a682-6aa71acf0d39
Video shows “geoengineering happening” as Hurricane Milton approaches Florida.,pants-fire,But the video does not show pre-Hurricane Milton clouds over Florida. This video doesn’t show geoengineering occurring as Hurricane Milton approaches Florida. The clouds in the video don’t show a hurricane.,Instagram posts,https://www.politifact.com/factchecks/2024/oct/08/instagram-posts/video-doesnt-prove-hurricane-milton-was-geoenginee/,51945aef-5dac-4fb7-872d-64b21c5e3dd1
"In Springfield, Ohio, “murders are up by 81%.”",barely-true,"Longer-term data, from 2013 to 2022, reported by the Springfield police to the FBI, shows that the number of homicides has fluctuated in Springfield without a clear trend. For example, the Springfield News-Sun reported that there were nine homicides in 2021; WHIO-TV said there were 12 homicides in 2021. Data reported to the Ohio Incident Based Reporting System showed that from 2021 to 2023, murders in Springfield rose from five to nine — an 80% increase.",JD Vance,https://www.politifact.com/factchecks/2024/sep/23/jd-vance/vance-cherry-picks-data-to-claim-81-murder-spike-a/,02707261-c046-4a1a-9a49-2cd55ccb060e
“Kurt Russell forms a new non-woke actors alliance with Roseanne Barr and Tim Allen.”,false,"""Kurt Russell forms a new non-woke actors alliance with Roseanne Barr and Tim Allen,"" an Aug. 27 Facebook post said. But these actors didn’t form a ""non-woke actors alliance,"" as a recent Facebook post claims. This post was flagged as part of Meta’s efforts to combat false news and misinformation on its News Feed.",Viral image,https://www.politifact.com/factchecks/2024/aug/30/viral-image/no-actors-kurt-russell-roseanne-barr-and-tim-allen/,31697362-da0d-44bd-b665-97f11126d5e9
"Says immigrants with temporary protections in Springfield, Ohio, are “illegal immigrants.”",false,"But immigration law experts said that, once immigrants have Temporary Protected Status protections, they are in the U.S. legally — regardless of how they entered the U.S. before receiving it. People can apply for Temporary Protected Status whether they entered the U.S. legally or illegally. Citizenship and Immigration Services, an agency within the department, about the immigration status of people with Temporary Protected Status and humanitarian parole.",JD Vance,https://www.politifact.com/factchecks/2024/oct/03/jd-vance/immigration-experts-say-jd-vance-is-wrong-haitians/,6ac95af6-fc77-47e6-be1d-a5e5c55a9a8a
U.S. Sen. Sherrod Brown “supported allowing puberty blockers and sex-change surgeries for minor children.”,barely-true,"Gender-affirming care is an individualized health care model that prioritizes encouraging and supporting a person’s gender identity — it  is more than puberty blockers and surgery. The Senate Leadership Fund said in an ad that Brown ""supported allowing puberty blockers and sex-change surgeries for minor children."" The Senate Leadership Fund supplied a closed-caption transcript of the news segment, in which a reporter asked Brown about legislation from Sen. JD Vance, R-Ohio, that aimed to ban gender-affirming care for minors.",Senate Leadership Fund,https://www.politifact.com/factchecks/2024/oct/11/senate-leadership-fund/republican-super-pac-wrong-on-sen-sherrod-browns-g/,dc0d9e22-cce3-443f-86bf-288bcf15186f
"The proposal to put golf courses, hotels in Florida state parks “was something that was leaked. … a lot of that stuff was half-baked and was not ready for prime time.”",barely-true,"The Florida Department of State sent a notification Aug. 20 announcing plans to hold Aug. 27 public meetings about the proposed plans across the state. The department canceled the public meetings and withdrew the plans for golf courses at Jonathan Dickinson State Park. DeSantis said the environmental protection agency’s proposal to put golf courses, hotels in Florida state parks ""was something that was leaked.",Ron DeSantis,https://www.politifact.com/factchecks/2024/aug/29/ron-desantis/florida-state-parks-plans-were-further-along-than/,97ba673e-fe66-45fb-aaa1-28def58e92a4
Video shows Jordan Peterson making disparaging remarks about Chinese food,pants-fire,We rate the claim that this video shows Peterson making disparaging remarks about Chinese food  Pants on Fire! A video of Canadian celebrity psychologist Jordan Peterson appears to show him making disparaging remarks about Chinese cuisine. The Facebook video directed viewers to purchase a book promoting herbal tablets.,Facebook posts,https://www.politifact.com/factchecks/2024/aug/29/facebook-posts/viral-video-that-appears-to-show-jordan-peterson-d/,27210a08-5826-4f55-9816-42465ae1ece2
Sen. Bob Casey “voted to sell American oil to China.”,false,Casey voted against a procedural measure that would have allowed consideration of an amendment to ban exports of oil from the Strategic Petroleum Reserve to China. Casey voted no on a procedural vote about whether to consider an amendment that would have limited foreign exports of oil from the reserve. Casey never participated in a Senate vote that led to the sale of American oil to China.,Dave McCormick,https://www.politifact.com/factchecks/2024/aug/28/dave-mccormick/did-pa-sen-bob-casey-vote-to-sell-american-oil-to/,3df448c4-632e-41e3-8299-d874a0ed6588
“Scientists at Exeter University have reconstructed this 3D model of how Moses might have looked.”,false,"In 2022, PolitIFact fact-checked a claim that Stanford University scientists published a 3D image of what Joseph of Nazareth might have looked like: a rendering of André René Roussimof, a French former professional wrestler and actor known as Andre the Giant. ""Scientists at Exeter University have reconstructed this 3D model of how Moses might have looked,"" the July 31 post said. We found nothing on the website of the University of Exeter, in the United Kingdom, to support the claim that scientists there rendered a 3D model of Moses.",Viral image,https://www.politifact.com/factchecks/2024/aug/07/viral-image/moses-wasnt-a-professional-wwe-wrestler-despite-wh/,a773388b-a944-4934-9b15-0563a91c3419
