claim,verdict,explanation,source,link,id
"Imágenes en este video son del ""Huracan helen en la Florida"".",false,"La creadora de la campaña de donaciones también publicó el video en YouTube, el 14 de agosto con el subtítulo: ""Tormenta en Orem encontró su camino dentro del sótano de Redd"". El artículo dice que el video es de la casa de una familia en Orem, Utah, que sufrió inundaciones severas luego de que el agua entró por la ventana de su sótano. Sin embargo, el segundo clip en el video en Instagram, de una cascada de agua entrando por una ventana cerca de un escritorio, no es del huracán Helene.",Instagram posts,https://www.politifact.com/factchecks/2024/oct/04/instagram-posts/segmento-de-este-video-es-de-inundacion-en-utah-no/,02ef8aae-88d6-4313-a0ec-f353c4c23302
"""Profesores de la Universidad de Howard confirman: 'Kamala fue la peor estudiante de la historia'"".",pants-fire,"Una búsqueda inversa de imágenes muestra que el hombre de la publicación en Facebook es Bradford Grant, profesor de arquitectura de la Universidad de Howard. Hace más de 30 años que la vicepresidenta Kamala Harris se graduó de la Universidad de Howard de Washington, D.C., y una escuela de leyes de California. Harris también se graduó en 1989 de la Facultad de Derecho de la Universidad de California Hastings, ahora conocida como Facultad de Derecho de la Universidad de California, San Francisco o UC Law SF.",Facebook posts,https://www.politifact.com/factchecks/2024/sep/24/facebook-posts/profesores-de-la-universidad-de-howard-no-dijeron/,d056d5be-9526-4e62-99ae-7d9e6aba8ca8
Vice President Kamala Harris “was born in Canada.”,pants-fire,"(Screengrab from Threads) Harris was born Oct. 20, 1964, in Oakland, California. RELATED: Kamala Harris is again facing attacks on her racial identity. A July 31 Threads post claimed Harris was not American because she ""was born in Canada.""",Threads posts,https://www.politifact.com/factchecks/2024/aug/01/threads-posts/kamala-harris-was-born-in-the-us-not-canada/,c83805f8-681b-4801-aa38-68dd672ea54a
The U.S. government is offering Americans loans to pay for flights out of Lebanon while they have been flying Israeli citizens out of Israel on chartered flights for a year “on our dime.”,false,"We rate the claim that the U.S. government is offering Americans loans to pay for flights out of Lebanon while they have been flying Israeli citizens out of Israel on chartered flights for a year ""on our dime"" False. After Israel launched a military ground invasion in southern Lebanon on Sept. 30, the U.S. embassy in Lebanon said in a security alert Oct. 3 that the Beirut-based embassy can provide U.S. citizens with emergency loans to relocate and direct Americans to flights with available seats to depart to a safe country. About 1,500 Americans evacuated Israel on chartered flights in 2023 after Hamas attacked Israel on Oct. 7.",Threads posts,https://www.politifact.com/factchecks/2024/oct/09/threads-posts/americans-in-lebanon-and-israel-had-to-pay-for-the/,c496b62a-3498-481a-81b5-e5fcd8cd8315
A biolab caught fire in Georgia right before the 2024 election.,false,"A Sept. 29 Instagram post sharing video of the fire was captioned, ""A Biolab has caught on fire in Georgia."" Today, the U.S. does not develop or produce any bioweapons as part of the United Nations’ Biological Weapons Convention. The Department of State said on X in 2022 that the U.S. is in compliance with the Biological Weapons Convention and ""does not develop or possess chemical and biological weapons anywhere.""",X posts,https://www.politifact.com/factchecks/2024/oct/01/tweets/georgia-fire-took-place-at-pool-and-spa-product-ma/,c93d50ed-54a0-415f-8a2b-07156a403010
"Beyoncé and Taylor Swift announced a “big endorsement concert” and said, “No more silence, before it’s too late, our voice must be heard now!”",false,"But neither Swift nor Beyoncé had formally endorsed any candidate of Aug. 27. Swift and Beyoncé endorsed Joe Biden and Harris in 2020. ""Beyoncé and Taylor Swift are about to have a BIG Endorsement Concert,"" an Aug. 21 Facebook post said.",Facebook posts,https://www.politifact.com/factchecks/2024/aug/28/facebook-posts/this-isnt-a-real-endorsement-quote-attributed-to-b/,44073cb2-cd3d-4d24-b1ad-66dd99be9058
“Country Music Television (CMT) has announced a permanent boycott of Taylor Swift.”,false,"""In a move that shocked the country music community and beyond, Country Music Television (CMT) has announced a permanent boycott of Taylor Swift,"" a Sept. 16 Facebook post said. Singer-songwriter Taylor Swift hasn’t been banned from Country Music Television despite an old satirical post that’s regaining traction online. This Facebook post isn’t.",Facebook posts,https://www.politifact.com/factchecks/2024/sep/18/facebook-posts/cmt-isnt-boycotting-taylor-swift-despite-old-onlin/,abc4c795-ad63-44bf-9ebc-f3e8190d3c6f
"Haitian immigrants are eating pets and wildlife in Springfield, Ohio.",false,"Social media posts claim that pets and wildlife in Springfield, Ohio, are being eaten by Haitian immigrants. A Springfield spokesperson said the city has received no such reports, and Springfield police told a local news outlet the department has received no reports of pets being stolen and eaten. But are the social media claims true about the immigrants eating their neighbors’ pets and dining on local waterfowl?",Social Media,https://www.politifact.com/factchecks/2024/sep/09/social-media/authorities-rebut-claims-that-haitian-immigrants-a/,9a272180-7fe5-469f-b173-c63a03ec1236
"""Kamala just launched her presidential campaign on RuPaul's Drag Race.""",false,"Vice President Kamala Harris launched her presidential campaign soon after President Joe Biden announced July 21 that he would withdraw from the race and endorse Harris’ candidacy. On July 26, Harris appeared on the Season 9 finale of ""RuPaul’s Drag Race All Stars,"" a reality competition show airing on MTV. And on July 23, Harris appeared before a crowd of thousands in Milwaukee.",Social Media,https://www.politifact.com/factchecks/2024/jul/31/social-media/kamala-harris-rupauls-drag-race-spot-was-taped-bef/,3833b5f5-7676-41bb-8c69-85aa278afdf0
Kamala Harris “wants to forcibly compel doctors and nurses against their will to give chemical castration drugs to young children.”,false,"During Harris’ vice presidency, the Department of Health and Human Services passed a rule that included LGBTQ+ people in the Affordable Care Act’s prohibition on sex discrimination. The change meant that LGBTQ+ people are again included in the Affordable Care Act’s prohibition on sex discrimination. An RNC spokesperson provided information about the Biden-Harris administration’s general support for access to gender affirming care for youth, but did not specify what Trump was referring to or a policy that would ""force"" doctors to provide care.",Donald Trump,https://www.politifact.com/factchecks/2024/aug/29/donald-trump/trumps-false-claim-harris-wants-to-forcibly-compel/,24e66543-61ae-4591-b17e-a6798a98987a
California law lets you “rob a store as long as it’s not more than $950” and “not get charged.” Kamala Harris “did that.”,false,"There is a $950 threshold cited in Proposition 47 between a misdemeanor or felony theft charge in the state. Trump said Harris was responsible for a California law that lets people steal with no penalties as long as the goods are valued at $950 or less. Under state law before Proposition 47, shoplifting property worth $950 or less was often a misdemeanor, but such crimes could, in some cases, also be charged as a burglary, which could be a felony, Harris’ summary said.",Donald Trump,https://www.politifact.com/factchecks/2024/aug/19/donald-trump/donald-trump-misleads-about-a-2014-california-crim/,80309d7f-4a7f-4fa0-83bd-951e53ca004b
"Photo shows “domestic Antifa are already gathering in Chicago, to create chaos during the Harris-Walz DNC.”",false,"And Chicago police have not said antifa is gathering in Chicago in such large numbers. When we contacted the Chicago Police Department about the X post’s claim, the agency pointed us to an Aug. 13 press conference about police efforts for the DNC. But we found no evidence from police or in on-the-scene news reports that demonstrators linked to antifa played a dominant role.",X posts,https://www.politifact.com/factchecks/2024/aug/21/tweets/why-this-claim-about-antifa-at-the-dnc-is-false/,8c26e503-75c8-4b0c-8066-f7b29eb37d17
