label,statement,source,uuid
half-true,texas ranks 1 worker deaths 1 carbon emissions 50 high school graduates 50 funding mental health patients,LIAR,d5a53957-1937-4e51-be33-b3af776a826b
false,says oil industry subsidies president barack obama attacking dont exist,LIAR,163ec0f1-a3ff-48cd-af65-2561e881e66a
mostly-true,georgia loses millions dollars revenue people go state buy fireworks,LIAR,c99c74f6-b33d-472e-a3df-36ae0ca05d34
pants-fire,wisconsin broke state government 3 billion debt,LIAR,22dfc4a4-ca41-47cf-9d13-fc371fe7f69b
false,united states building aircraft longrange bombers additional aircraft carriers nuclear submarines,LIAR,5d139fee-dd8d-472d-a0a6-c5092b4ca2ac
true,thanks one week largest gop facebook page governors race,LIAR,ba09cece-d8d1-415a-94ef-b01ece040f52
false,jobs solar oil,LIAR,322e27fe-34f8-4ec2-a5b9-83cf87e9a040
barely-true,spend tax loopholes annually 11 trillion thats spend defense budget year medicare medicaid year,LIAR,bbf2e57d-870a-4b13-8db5-e9bd24615692
half-true,walking door sonia sotomayor would bring experience bench varied experience bench anyone currently serving united states supreme court appointed,LIAR,f11bb37a-273c-45f1-b810-9fe1edfe5263
mostly-true,last year produced 14 percent less oil public lands year,LIAR,7ee17073-272c-4e18-afc3-41b291bfd458
false,georgia religious freedom bill would help catholic institutions obamacare could forced provide abortioninducing drugs,LIAR,62dd07c2-49c2-42d3-b245-c034061eca03
half-true,economic impact study found every 1 invested prek pennsylvania total 179 generated total spending within state,LIAR,c5ce4a2f-e557-4397-96bb-6aa30573e3aa
true,president added close 68000 troops last year since came office 30000 hear others added,LIAR,4663e0dd-7005-48e2-8e60-4f7e9366589c
true,us loses tax breaks collects personal income taxes,LIAR,c8a91748-e002-4cf8-bc03-dd7b8336265b
barely-true,ive supported every investigation hurricane katrina ways finding caused tragedy ive met people ground ive met governor,LIAR,2af98ce1-7be0-459f-924d-ed5cec0cbe06
half-true,past legislative session passed legislature resolution requiring congress pass balancedbudget amendment us constitution,LIAR,65f04ecc-9ba1-4c11-8df5-09a723cd237e
half-true,ive standing chinese government womens rights standing human rights,LIAR,3680a000-ae0f-42a5-904b-3f969d3c42ca
false,twenty percent single adults ages 21 25 kids working even school trying find job,LIAR,99acb405-ba7d-472d-829d-a0f39e949c49
half-true,destroying businesses united states created first time history,LIAR,ae2118a1-6c54-489e-96c5-fa955670dae4
false,statistical evidence bail bonds increase likelihood awaiting trial returning court scheduled hearings,LIAR,1e9cffe4-d567-4df4-bbe2-5dde60195e69
true,animal abuse often indicative trait future acts violence humans,LIAR,96afa313-2904-4bfb-9aef-5500f99b212d
true,georgia recovered 60 million lost medicaid fraud,LIAR,f5e27255-62d9-487f-aa92-301aabf653e8
barely-true,says dick cheney debaathisized iraqi government created isis,LIAR,1a4ef23c-3dec-4a07-b585-93e0b830f4ad
pants-fire,serious voter fraud new hampshire,LIAR,a7fa1893-06f9-432c-a9f4-8227a43b0a4d
mostly-true,weve recovered recession faster come farther almost advanced country earth,LIAR,b6b79b2d-436e-47e3-b2e7-ad7ea8d9546f
true,snitker virtually ignored major media,LIAR,63a70c27-1985-4bd8-a108-dfd850705f92
half-true,ed gillespies firm even lobbied five foreign governments including dictator awaiting trial war crimes,LIAR,d71cff90-6c71-4819-945f-cce0fc2a9a3e
barely-true,nearly 25 percent automobile accidents caused texting driving,LIAR,2e4366a4-1ccb-418a-9a91-47b1b80d059c
mostly-true,says opponent us rep gwen moore wisconsins absent member congress missing nearly 17 percent house votes second quarter 2012,LIAR,f92236de-bd6d-4765-89a2-a7d575cdf65e
mostly-true,mary burkes company trek bicycles makes 99 bikes overseas,LIAR,715b7b39-cbf0-4cac-86ac-0f8420cf8801
false,2010 betty sutton voted destroy medicare,LIAR,1fb4aaaf-1aac-41f5-82ad-26134e69b916
mostly-true,californians consume 40 percent less energy per person national average,LIAR,33626439-cd91-4b10-b93f-b8807178b2ac
false,rhode islands graduated driving license saved hundreds lives,LIAR,e2ad7938-061d-438a-b984-4451539dabc9
Labeled,clint eastwood said man called duck goose women used smile nod pretend goose theyll tell duck dont tell patriarchy still exists,Snopes,fa6269dd-55cb-4455-b96b-59f20214c0be
half-true,social security trust fund sound without anything done would function well 2038 even time changes could pay 80 percent benefits people earned,LIAR,c7425829-f23f-45e8-b705-2f3099f00a6a
half-true,thousands public employees wisconsin gov scott walkers budgetrepair bill would take away say workplace eliminate union,LIAR,350b01d2-05c5-475a-98cf-0e173147b05d
mostly-true,forty percent union members voted republican 2008,LIAR,fa1615ee-3e2e-4299-89a1-79071c17405f
false,state budget cuts local schools resulted nearly 4000 educator layoffs,LIAR,cddeb22b-b853-4ea4-8cfd-4202cf6ff8b3
half-true,says rick perry became governor 4 percent total labor force minimum wage job today number doubled 95 percent,LIAR,56a62245-f9e6-4e7a-bd1e-9200874e91a0
half-true,austin tea party ultraconservative millionaire behind campaign citys lightrail proposition,LIAR,909b1694-f9e5-4053-ade3-a41800482f25
half-true,hasnt really lot net growth federal workforce compare say 1990,LIAR,6e0a9e5f-6071-46df-adf3-dace338edd31
barely-true,mexican government officials hand brochures showing individuals avoid border patrol get country,LIAR,d24b664d-8553-4e48-a207-448535445099
false,wisconsins new state budget includes 15 percent increase road construction yet weve got local towns tearing paved roads replacing gravel,LIAR,c5a29702-5a1a-4ceb-bfdd-0ca576adcb70
