label,statement,source,uuid
half-true,seized currency drugs outbound arms past year year countrys history,LIAR,084d1de4-6df5-402b-b907-8b3caccaee81
mostly-true,since 2000 10 cases inperson voter fraud proven nationally,LIAR,d79698d4-436c-40c1-ab47-c4c0c7c9050f
true,says madison mayor paul soglins stated intent proposing city contractors disclose private political donations discourage contributions organizations disagrees,LIAR,a3b6785e-1cad-4131-85d0-0aa2bc496cc8
barely-true,birmingham ala cradle civil rights movement,LIAR,e229c92b-7a92-46d4-be34-700d49c5d65e
false,says state sen morgan carrolls votes made easier sue doctors small businesses even nurses putting shady interests first,LIAR,f7b1195b-0f6b-42a7-b0ae-762d367d9cd9
mostly-true,slot machines miamidade broward counties generated 20 percent promised 500 million per year schools,LIAR,64a557d2-23f1-4d98-ab73-3b152ff0768c
barely-true,eric cantor voted fully fund obamacare october,LIAR,4ed8345c-891a-4073-8ead-c43e46fa3e8f
mostly-true,former gov rick perry signed law federal court said actually written purpose discriminating minority voters,LIAR,4487f233-5c44-4421-ac88-6a1e3982b119
half-true,result national rifle association privatesector safetyeducation programs fatal firearms accidents lowest level 100 years,LIAR,450909b7-6c39-47df-bad3-3d80b2edf9b9
pants-fire,everyone californias roads properly licensed tested insured,LIAR,f648a963-fe18-4f69-9cc1-cdc85381a24c
false,says president barack obamas economists say stimulus cost 278k per job created,LIAR,2108b580-0c89-4312-a560-47360fffb84c
pants-fire,capandtrade bill congress prevents selling home without permission epa administrator,LIAR,18a46271-0672-4308-864d-466bba6322ab
pants-fire,says misquoted didnt say israeli ambassador said republicans dangerous israel,LIAR,42e46310-9a0f-4a5a-ba0f-50ec757d7416
false,africa spending highest percentage gdp education part world,LIAR,4284d8d0-160a-4333-b874-6a1337ea4b39
false,says president barack obamas health care law insurance premiums could go 200 percent cost much new explorer,LIAR,9e7173b6-5716-479d-b259-a532f9a64511
mostly-true,2015 roughly 10000 political arrests occurred cuba five times many occurred 2010 2000,LIAR,0935e087-6059-41ea-8ede-de374d3f894d
false,last five years 28000 people killed along usmexico border,LIAR,2e7e8c3e-454c-4376-8a7e-8ff236ed42ba
mostly-true,says obama administration debt nearly doubled,LIAR,f126c0ef-8bdc-45d8-b54c-13af81ec1d37
false,state rep elena parent supported governor nathan deals plan slash hope scholarship,LIAR,aba3944c-aff1-4ff4-9000-1485c63976ba
barely-true,texas women make average 8355 less per year men job,LIAR,ef71dd74-b101-4a5c-ae13-77332338c241
false,youth unemployment roof,LIAR,650daa24-44e4-4096-80e3-ae2a2b6c6788
barely-true,blocking us supreme court nomination remaining months president obamas term would leave nations highest court unprecedented yearlong vacancy,LIAR,45658d93-a8ca-4fbb-a960-5486a277f981
true,china practicing blow satellites,LIAR,49507a6b-63ef-455e-9817-73131e20e8c3
mostly-true,40000 veterans texas wont get health care perry rejected obamacares medicaid expansion,LIAR,56953696-7174-4ae6-a327-e22178d2d27e
