"claim","verdict","summary","source","link"
"Video shows Vice President Kamala Harris “hammered.”","pants-fire","Let’s break that down."" Let’s break that down. The video clip in the Instagram post is about 5 seconds longer than the length of Harris’ actual remarks.","Viral image","https://www.politifact.com/factchecks/2024/sep/24/viral-image/sober-seriously-altered-video-slows-kamala-harris/"
"Travis Kelce endorsed Kamala Harris.","false","We searched Google and the Nexis news database and found no credible news reports about Kelce endorsing Harris as of Sept. 24. ""Breaking: Travis Kelce Follows Taylor Swift’s Footsteps, Supports Harris: ‘Taylor Made the Right Decision,’"" a Threads screenshot of a Sept. 15 X post reads. We rate the claim that Travis Kelce endorsed Kamala Harris in mid-September False.","Threads posts","https://www.politifact.com/factchecks/2024/sep/24/threads-posts/no-travis-kelce-didnt-endorse-kamala-harris-for-pr/"
"""Profesores de la Universidad de Howard confirman: 'Kamala fue la peor estudiante de la historia'"".","pants-fire","Una búsqueda inversa de imágenes muestra que el hombre de la publicación en Facebook es Bradford Grant, profesor de arquitectura de la Universidad de Howard. Hace más de 30 años que la vicepresidenta Kamala Harris se graduó de la Universidad de Howard de Washington, D.C., y una escuela de leyes de California. Harris también se graduó en 1989 de la Facultad de Derecho de la Universidad de California Hastings, ahora conocida como Facultad de Derecho de la Universidad de California, San Francisco o UC Law SF.","Facebook posts","https://www.politifact.com/factchecks/2024/sep/24/facebook-posts/profesores-de-la-universidad-de-howard-no-dijeron/"
"Video shows Vice President Kamala Harris using a teleprompter.","false","The post included a video clip without sound that showed Winfrey from behind and Harris in profile as words on a teleprompter scrolled in their foreground. We rate claims this video shows Harris using a teleprompter False. ""Apparently Kamala Harris had a freaking TELEPROMPTER during her ‘interview’ with Oprah.","X posts","https://www.politifact.com/factchecks/2024/sep/24/tweets/no-this-video-doesnt-show-kamala-harris-using-a-te/"
"“Sam Brown publicly supported forcing massive cuts to Social Security and Medicare and was caught on tape saying he admires the plan to phase out Social Security and Medicare in five years.”","barely-true","Rosen said, ""Sam Brown publicly supported forcing massive cuts to Social Security and Medicare and was caught on tape saying he admires the plan to phase out Social Security and Medicare in five years."" Sam Brown publicly supported forcing massive cuts to Social Security and Medicare and was caught on tape saying he admires the plan to phase out Social Security and Medicare in five years."" Balancing the federal budget is not as simple as it sounds and the balanced budget plan Brown supported would almost guarantee cuts to Social Security and Medicare.","Jacky Rosen","https://www.politifact.com/factchecks/2024/sep/24/jacky-rosen/jacky-rosen-exaggerates-sam-browns-support-for-cut/"
"Tim Walz said ""we can't afford four more years"" of Kamala Harris.","false","We rate the claim that Walz said we can’t afford four more years of Harris False. She is the ‘this.’""  It included a video clip of Walz saying, ""We can’t afford four more years of this."" ""In a stunning move, Tim Walz makes the case for Trump: ‘We can't afford four more years of this,’"" the conservative podcaster and commentator Benny Johnson posted on X.","Instagram posts","https://www.politifact.com/factchecks/2024/sep/24/instagram-posts/viral-video-misleads-with-truncated-clip-of-tim-wa/"
"“The last union member on a national ticket (was) Ronald Reagan.”","false","Walz said that, before himself, ""the last union member on a national ticket (was) Ronald Reagan."" He repeated this claim more recently, in a Sept. 21 appearance in Bethlehem, Pennsylvania, when he said that ""the last union member on a national ticket (was) Ronald Reagan."" There’s one problem with the talking point: A card-carrying union member named Donald Trump was on the ballot more recently, in both 2016 and 2020.","Tim Walz","https://www.politifact.com/factchecks/2024/sep/24/tim-walz/no-ronald-reagan-wasnt-the-last-union-member-on-a/"
"Photo shows a toilet after “some Hezbollah operative blew up.”","false","After pagers used by members of the militant group Hezbollah exploded Sept. 17 in Lebanon and Syria, killing more than 30 people and injuring thousands more, an image of a damaged and charred toilet started to spread on social media. We rate claims this photo shows a toilet destroyed after a member of Hezbollah ""blew up"" False. But the toilet image is old, and from Hong Kong.","X posts","https://www.politifact.com/factchecks/2024/sep/24/tweets/no-this-isnt-a-photo-of-a-toilet-destroyed-by-an-e/"
"“The Montana Secretary of State left Kamala Harris off the ballot.”","half-true","""The Secretary of State notified county election officials that they were troubleshooting missing choices in races in the electronic system for UOCAVA (Uniformed and Overseas Citizens Absentee Voting Act) voters on Friday morning and were temporarily taking the system offline,"" Aldrich said. Registered overseas voters are sent physical absentee ballots in the mail 45 days before the election, but also can use the Electronic Absentee System to print a ballot and mail it back or fill in an online ballot, the secretary of state’s website says. Physical absentee ballots for Montana voters who are not overseas will be mailed Oct. 11.","Social Media","https://www.politifact.com/factchecks/2024/sep/24/social-media/montana-electronic-ballot-for-overseas-voters-omit/"
"“A staffer reveals that Kamala Harris doesn’t actually own a gun.”","pants-fire","The exchange in the video was significantly sped up and captions appearing Elrod as she speaks reads: ""She doesn’t own a firearm."" The original footage of this exchange makes clear that Elrod doesn’t say ""she doesn’t own a firearm."" We rate claims a staffer said Harris doesn’t own a gun Pants on Fire!","Instagram posts","https://www.politifact.com/factchecks/2024/sep/23/instagram-posts/no-kamala-harris-spokesperson-didnt-say-the-democr/"
